codigo_producto,descripcion_producto,costo_producto,precio_producto,stock_actual_producto,unidad_de_medida_producto,proveedor_producto,ramo_producto,familia_producto,grupo_producto,marco_producto
404,MANTECA DOS AROLLOS KG,180.0,216.0,0.0,Uni,Proveedor de la Empresa,Sin asignar,ISSUE,TINTAS,
3,COMPRA EXENTO IVA,0.0,0.0,12.47,Uni,Proveedor de la Empresa,VACIO2,DANICA,COMPRAS,
5932,ALIMENTO SPECIAL DOG CARNE ADULTO 20KG,27.08,33.85,0.0,Uni,MANIZAL S.A,ALIMENTO MASCOTAS,PERROS,Sin asignar,SPECIAL DOG
250401,ENCENDEDOR INMINENT CLASICO (DISP 50 UNI) (20 UNI),801.786,1002.0,1.0,Uni,MABLE S.A,HOGAR,VARIOS,Sin asignar,INMINENT
1077,BANDEJA BOLW 4 445BN,0.381,0.5,366.0,Uni,,EMPAQUES,BANDEJA,Sin asignar,
0205611,CREMA CHANTILLY ULTRA RICH 1L (12 UNI),166.53,208.0,0.0,Uni,NORTESUR S.A,ELABORACION Y PANADERIAS,ENVASADOS,Sin asignar,ULTRA RICH
443,PREMEZCLA MEDIALUNAS FLEISCHMANN 3 KG,256.66,321.0,0.0,Uni,LEVADURA URUGUAYA S.A,ENVASADOS,FLEISCHMANN,Sin asignar,
5732,VASO PP 180ML (100 UNI),48.0,62.4,2.0,Uni,NATILURIO S.A,EMPAQUES,Sin asignar,Sin asignar,
134,ESPONJA RULO INOXIDABLE ZIP,13.51,17.0,0.0,Uni,EXTREM S.A,LIMPIEZA,Sin asignar,Sin asignar,
34,BOLSA CAMISETA NATURAL X 100 UNIDADES (6 UNI),3.296,4.45,6.0,Uni,GAFENIR S.A,EMPAQUES,Sin asignar,Sin asignar,
250204,PILAS ALCALINA EUROENERGY AA X 4 UNIDADES (12 UNI),75.142,94.0,18.0,Uni,MABLE S.A,HOGAR,Sin asignar,Sin asignar,EUROENERGY
3901,MIEL CERROS AZULES 1 KG (6 UNI),226.8,284.0,19.0,Uni,FORNI BRECCIA MARIA ANGELICA,DULCES Y MERMELADAS,MIEL Y JALEAS,Sin asignar,CERROS AZULES
3902,MIEL CERROS AZULES FRASCO 450 GR (12 UNI),122.85,154.0,2.0,Uni,FORNI BRECCIA MARIA ANGELICA,DULCES Y MERMELADAS,MIEL Y JALEAS,Sin asignar,CERROS AZULES
3903,MIEL CERROS AZULES 170 GR (24 UNI),47.25,59.0,0.0,Uni,FORNI BRECCIA MARIA ANGELICA,DULCES Y MERMELADAS,MIEL Y JALEAS,Sin asignar,CERROS AZULES
3904,MIEL CERROS AZULES POMO 300 GR (16 UNI),113.4,142.0,29.0,Uni,FORNI BRECCIA MARIA ANGELICA,DULCES Y MERMELADAS,MIEL Y JALEAS,Sin asignar,CERROS AZULES
000,ENDULZANTE SUCRALOSA DOLCELIGTH X 50 SOBRES (18 UNI),83.999,109.0,17.0,Uni,ZONETIC SA,CAFE E INFUSIONES,EDULCORANTE Y AZUCARES,Sin asignar,DOLCELIGHT
01,ENDULZANTE SUCRALOSA DOLCELIGTH X 100 SOBRES (12 UNI),146.999,191.0,6.0,Uni,ZONETIC SA,CAFE E INFUSIONES,EDULCORANTE Y AZUCARES,Sin asignar,DOLCELIGHT
02,ENDULZANTE SUCRALOSA DOLCELIGTH X 1000 SOBRES,677.239,880.0,4.0,Uni,ZONETIC SA,CAFE E INFUSIONES,EDULCORANTE Y AZUCARES,Sin asignar,DOLCELIGHT
03,ENDULZANTE SUCRALOSA DOLCELIGTH POTE 200 GR (12 UNI),255.15,332.0,5.0,Uni,ZONETIC SA,CAFE E INFUSIONES,EDULCORANTE Y AZUCARES,Sin asignar,DOLCELIGHT
0516,ENDULZANTE AZUCAR + STEVIA DOLCELIGTH 400 GR (30 UNI),56.7,74.0,0.0,Uni,ZONETIC SA,CAFE E INFUSIONES,EDULCORANTE Y AZUCARES,Sin asignar,DOLCELIGHT
0014,JUGO RINDE DOS DURAZNO DISP X 10 UNI (24 UNI),132.0,158.0,0.0,Uni,DANIEL,BEBIDAS,JUGOS,Sin asignar,RINDE DOS
0015,JUGO RINDE DOS NARANJA DISP X 10 UNI (24 UNI),132.501,159.0,6.0,Uni,DANIEL,BEBIDAS,JUGOS,Sin asignar,RINDE DOS
0016,JUGO RINDE DOS MIX FRUTAL DISP X 10 UNI (24 UNI),132.501,159.0,2.0,Uni,DANIEL,BEBIDAS,JUGOS,Sin asignar,RINDE DOS
0017,JUGO RINDE DOS ANANA DISP X 10 UNI (24 UNI),132.501,159.0,28.0,Uni,DANIEL,BEBIDAS,JUGOS,Sin asignar,RINDE DOS
0018,JUGO RINDE DOS LIMON  DISP X 10 UNI (24 UNI),132.0,158.0,0.0,Uni,DANIEL,BEBIDAS,JUGOS,Sin asignar,RINDE DOS
